name,sector,categories,tags,scope,date,resources,description,countries,actors
Telefonica AI Ethics Guidelines,AI in general,Ethics guidelines,,International - Global,10/1/2018 0:00,"<a target=""_blank"" href=""https://www.telefonica.com/documents/737979/143948154/infografia-ia-eng.pdf/c203ade4-caf5-8664-c065-c5cc66cacca2?version=1.0"">Telefonica AI Ethics Guidelines</a>",,Global,Telefonica
COMEST Robot Ethics Guidelines,Robotics,Ethics guidelines,,International - Global,9/1/2017 0:00,"<a target=""_blank"" href=""http://unesdoc.unesco.org/images/0025/002539/253952E.pdf"">COMEST Robot Ethics Guidelines</a>",,Global,UNESCO
Draft AI R&D Guidelines for International Discussion,AI in general,Guidelines,,National,7/1/2017 0:00,"<a target=""_blank"" href=""http://www.soumu.go.jp/main_content/000507517.pdf"">Draft AI R&D Guidelines for International Discussion</a>",,Japan,Ministry of Internal Affairs and Communications
AI Policy Observatory,AI in general,Observatory,,International - OECD,9/1/2018 0:00,"<a target=""_blank"" href=""http://www.oecd.org/going-digital/ai/about-the-oecd-ai-policy-observatory.pdf"">OECD AI Policy Observatory</a>","The OECD AI Policy Observatory builds on the OECD’s Recommendation on Artificial Intelligence issued in May 2019. It will be an online repository, combining resources from across the OECD and its partners from various stakeholder groups. The goal of the observatory is to facilitate dialogue and provide multidisciplinary, evidence-based policy analysis on AI. It is scheduled to launch in early 2020 and will comprise 4 main components:<br><br>- AI Principles<br><br>- Policy areas, such as jobs, skills, health, transport, etc. <br><br>- Metrics on AI trends<br><br>- National and AI policies and initiatives.",OECD,OECD
Maximising the benefits of Artificial Intelligence through future-proof rules on Text and Data Mining,Data mining,Proposal,,International - EU,4/1/2018 0:00,"<a target=""_blank"" href=""https://cdt.org/files/2018/04/OpenLetter-to-European-Commission-on-AI-and-TDM-9-April-2018-copy.pdf"">Open letter to EU Commission on Text and Data Mining</a>",,Global,Center for Technology and Democracy
Governing AI - Upholding Human Rights and Dignity,AI in general,Report,,International - Global,10/1/2018 0:00,"<a target=""_blank"" href=""https://datasociety.net/wp-content/uploads/2018/10/DataSociety_Governing_Artificial_Intelligence_Upholding_Human_Rights.pdf"">Governing AI - Upholding Human Rights and Dignity</a>",,Global,Data & Society
Applying AI for Social Good,AI in general,Report,,International - Global,12/1/2018 0:00,"<a target=""_blank"" href=""https://www.mckinsey.com/~/media/mckinsey/featured%20insights/artificial%20intelligence/applying%20artificial%20intelligence%20for%20social%20good/mgi-applying-ai-for-social-good-discussion-paper-dec-2018.ashx"">Notes from the Frontier - Applying AI for Social Good</a>",,Global,McKinsey
"Ethical, Social and Political Challenges of AI in Health",Health,Report,,National,4/1/2018 0:00,"<a target=""_blank"" href=""https://wellcome.ac.uk/sites/default/files/ai-in-health-ethical-social-political-challenges.pdf"">Ethical, Social and Political Challenges of AI in Health</a>",,Global,Wellcome Trust
"Microsoft's Fairness, Accountability, Transparency and Ethics in AI Group",AI in general,Research,,International - Global,3/1/2017 0:00,"<a target=""_blank"" href=""https://www.microsoft.com/en-us/research/group/fate/"">Microsoft's Fairness, Accountability, Transparency and Ethics in AI Group</a>",,Global,Microsoft
Government AI Readiness Index,AI in general,Research,,International - Global,12/1/2017 0:00,"<a target=""_blank"" href=""https://www.oxfordinsights.com/government-ai-readiness-index/"">Government AI Readiness Index</a>",,Global,Oxford Insights
Mitigating the Negative Impacts of Computing Through a Change to the Peer Review Process,AI in general,Self-regulation,,International - Global,3/1/2018 0:00,"<a target=""_blank"" href=""https://acm-fca.org/2018/03/29/negativeimpacts/"">Mitigating the Negative Impacts of Computing Through a Change to the Peer Review Process</a>",,Global,Association for Computing Machinery
Global Data Ethics Pledge,Model and data management,Self-regulation,,International - Global,2/1/2018 0:00,"<a target=""_blank"" href=""https://github.com/Data4Democracy/ethics-resources"">Global Data Ethics Pledge</a>",,Global,Data for Democracy
Responsible AI Practices,AI in general,Self-regulation,,International - Global,6/1/2018 0:00,"<a target=""_blank"" href=""https://ai.google/education/responsible-ai-practices"">Responsible AI Practices</a>",,Global,Google
Microsoft AI Principles,AI in general,Self-regulation,,International - Global,11/1/2018 0:00,"<a target=""_blank"" href=""https://www.microsoft.com/en-us/ai/our-approach-to-ai"">AI Principles</a>",,Global,Microsoft
Guiding Principles for Artificial Intelligence,AI in general,Self-regulation,,International - Global,9/1/2018 0:00,"<a target=""_blank"" href=""https://news.sap.com/2018/09/sap-guiding-principles-for-artificial-intelligence/"">Guiding Principles for Artificial Intelligence</a>",,Global,SAP
Ethical Principles for Artificial Intelligence and Data Analytics,Model and data management,Self-regulation,,International - Global,9/1/2017 0:00,"<a target=""_blank"" href=""http://www.siia.net/Portals/0/pdf/Policy/Ethical%20Principles%20for%20Artificial%20Intelligence%20and%20Data%20Analytics%20SIIA%20Issue%20Brief.pdf?ver=2017-11-06-160346-990"">Ethical Principles for Artificial Intelligence and Data Analytics</a>",,Global,Software and Information Industry Association
Open AI Charter,AI in general,Self-regulation ; Ethics guidelines,,International - Global,4/1/2018 0:00,"<a target=""_blank"" href=""https://blog.openai.com/openai-charter/"">Open AI Charter</a>",,Global,Open AI
Ethically Aligned Design - Global Initiative on Ethics of Autonomous and Intelligent Systems,AI in general,Standardisation,,International - Global,12/1/2017 0:00,"<a target=""_blank"" href=""https://ethicsinaction.ieee.org"">Ethically Aligned Design - Global Initiative on Ethics of Autonomous and Intelligent Systems</a>",,Global,IEEE
